timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,isFailure,total
1526375129419269,-4,6,32,-3,52,-4,40,-3,false,142.5
1526375129419269,2,-8,-27,-13,6,-8,-1,-6,false,121.125
1526375129435279,7,-6,-32,-63,-84,-10,-9,42,false,108.625
1526375129435279,18,5,3,21,19,10,29,-24,false,138.125
1526375129435279,-14,-21,-44,-85,-11,-2,-51,-10,false,98
1526375129435279,-16,12,53,101,-22,-6,-6,-22,false,139.75
1526375129450290,-12,0,-1,-45,55,4,14,5,false,130.5
1526375129450290,-3,-9,-12,14,-57,-16,25,5,false,121.375
1526375129456313,-17,-1,-10,-39,18,5,-32,3,false,118.875
1526375129456313,78,5,-16,-27,-41,8,28,36,false,136.875
1526375129472307,-24,-32,-63,-61,-47,-20,-50,-40,false,86
1526375129472307,-33,50,109,117,81,41,53,-14,false,178.5
1526375129479313,-3,-11,15,75,26,-7,-6,-7,false,138.25
1526375129479313,41,0,-15,-57,-9,18,16,106,false,140.5
1526375129495319,-4,-3,-27,-69,-73,-34,16,-57,false,96.625
1526375129495319,2,-25,-42,-53,39,-11,-35,-47,false,106.5
1526375129495319,-31,4,6,21,-46,-19,-3,20,false,122
1526375129495319,-13,-4,8,-15,42,16,-7,-33,false,127.25
1526375129510333,56,6,-13,30,-45,0,27,63,false,143.5
1526375129510333,24,4,40,82,75,-1,-62,8,false,149.25
1526375129516337,-29,37,74,5,-101,8,38,-14,false,130.25
1526375129516337,-29,-8,-16,25,59,-21,-21,-14,false,124.875
1526375129533344,-36,-3,-21,-48,-21,6,-11,26,false,114.5
1526375129533344,15,-28,-85,-128,-44,-10,-19,-31,false,86.75
1526375129539349,33,-14,-47,54,114,19,25,40,false,156
1526375129539349,-36,1,40,-13,-44,-33,44,-21,false,120.25
1526375129554359,-50,17,75,120,-51,2,10,-12,false,141.875
1526375129554359,-18,-27,-68,-52,46,-64,-48,-12,false,97.625
1526375129561381,-7,-7,-36,-119,-60,-15,-56,-20,false,88
1526375129561381,53,-12,-62,-11,-15,-2,51,-44,false,122.75
1526375129570369,-29,-25,-25,17,127,12,-21,13,false,136.625
1526375129570369,-28,22,76,-3,-59,12,14,44,false,137.75
1526375129576392,21,6,23,102,43,13,4,6,false,155.25
1526375129576392,-16,-2,-14,37,74,-20,-67,-70,false,118.25
1526375129593384,53,14,-26,-95,-58,32,52,51,false,130.875
1526375129593384,-26,0,34,53,52,28,-19,-37,false,138.625
1526375129599392,-59,-3,78,125,105,47,75,-25,false,170.875
1526375129599392,-5,-23,-13,-76,-96,-40,-92,17,false,87
1526375129615399,-8,6,-49,-30,123,-16,-27,-87,false,117
1526375129615399,28,7,-36,-41,-3,40,74,65,false,144.75
1526375129630409,54,29,21,75,101,24,-25,-7,false,162
1526375129630409,-128,-35,31,27,-52,-44,-73,-61,false,86.125
1526375129638418,51,13,-13,-48,75,39,58,34,false,154.125
1526375129638418,-15,3,14,-43,-107,-14,-61,-45,false,94.5
1526375129639417,-55,-60,-121,-128,39,17,7,-21,false,87.75
1526375129639417,104,15,42,78,-104,-70,24,74,false,148.375
1526375129653424,-34,-3,-25,81,5,10,-74,36,false,127.5
1526375129653424,40,27,3,-32,-1,3,-24,-19,false,127.625
1526375129659432,-38,-14,-27,68,44,60,39,1,false,144.625
1526375129659432,-101,-30,-127,-88,-70,37,-34,19,false,78.75
1526375129682464,18,9,74,80,-82,10,127,-45,false,151.875
1526375129682464,6,23,109,82,24,-66,-59,19,false,145.25
1526375129683448,66,17,-12,-32,-68,26,35,54,false,138.75
1526375129683448,21,10,-73,-77,79,28,127,-74,false,133.125
1526375129697458,-26,-7,-19,106,104,49,-56,34,false,151.125
1526375129697458,-101,-76,-128,-84,-97,-41,-77,-67,false,44
1526375129698454,107,50,73,20,-101,-128,45,68,false,144.75
1526375129698454,-25,35,127,100,13,-71,-86,-4,false,139.125
1526375129713470,-16,-4,-25,-50,-4,83,84,-19,false,134.125
1526375129713470,20,-1,-40,3,56,-36,127,-53,false,137.5
1526375129719472,-36,-69,-128,-121,71,97,8,-13,false,104.125
1526375129719472,87,93,105,103,-19,-35,-8,101,false,181.375
1526375129734496,18,-27,-105,-110,26,56,27,14,false,115.375
1526375129734496,-76,-33,-116,-10,95,56,49,3,false,124
1526375129741482,6,20,71,-28,-96,-91,-50,-22,false,104.25
1526375129741482,0,-15,-102,-78,17,-35,-23,31,false,102.375
1526375129758494,35,21,49,-8,29,55,76,-29,false,156.5
1526375129758494,50,21,52,16,-18,-91,-73,-3,false,122.25
1526375129759495,-96,-17,34,84,-95,50,-41,10,false,119.125
1526375129759495,37,-28,-88,8,127,88,99,-102,false,145.625
1526375129773504,-88,87,127,78,-40,26,-5,62,false,158.875
1526375129773504,127,7,-35,-13,-62,-34,-54,67,false,128.375
1526375129779512,13,23,-9,51,-27,81,91,-30,false,152.125
1526375129779512,-113,-105,-97,-114,13,110,-1,28,false,93.125
1526375129794522,34,-1,42,52,44,-128,58,-97,false,128.5
1526375129794522,-31,80,71,70,115,111,67,90,false,199.625
1526375129801526,22,3,-57,-75,-108,39,-90,-27,false,91.375
1526375129801526,32,3,84,12,-36,-55,89,-71,false,135.25
1526375129817549,-37,-29,-50,-28,6,73,18,29,false,125.75
1526375129817549,-20,-76,-99,-91,89,93,-90,11,false,105.125
1526375129818533,101,85,109,98,1,-29,3,60,false,181.5
1526375129818533,58,20,-62,-45,51,87,67,-3,false,149.625
1526375129833544,-23,-13,-74,-27,5,24,1,-3,false,114.25
1526375129833544,52,-50,-85,20,-40,-112,29,15,false,106.625
1526375129839554,-128,-2,-49,-128,-13,-75,-42,-30,false,70
1526375129839554,85,-36,-63,43,20,102,23,77,false,159.375
1526375129854560,40,94,98,83,-86,-128,-100,-34,false,123.875
1526375129854560,-61,-67,-128,-128,-11,127,101,4,false,107.625
1526375129861582,50,-66,-56,77,9,-55,-93,-5,false,110.625
1526375129861582,-53,17,-37,-74,-35,-127,-6,22,false,91.375
1526375129877577,79,-73,-72,-23,-22,87,55,-64,false,123.875
1526375129877577,-71,69,78,25,82,95,127,84,false,189.125
1526375129877577,62,-49,-69,20,-91,-109,-59,33,false,95.25
1526375129877577,-124,76,56,27,10,-10,-44,-75,false,117.5
1526375129893587,-11,-88,-128,-128,41,78,54,68,false,113.75
1526375129893587,13,55,22,2,-128,-128,111,16,false,123.375
1526375129899594,58,-60,12,44,114,127,89,-40,false,171
1526375129899594,33,-2,-93,-93,0,-58,12,27,false,106.25
1526375129914650,14,-10,-71,-89,-17,30,-1,-85,false,99.375
1526375129914650,-4,26,49,9,-19,-44,-128,42,false,119.375
1526375129921654,-103,-71,-125,-128,5,-67,-23,-112,false,50
1526375129921654,-19,66,127,127,-6,93,105,127,false,205.5
1526375129937675,-58,-3,-20,-99,-41,-128,-128,-96,false,56
1526375129937675,-26,-40,-78,83,30,107,127,36,false,157.875
1526375129938661,19,35,-86,-120,-13,56,-67,-44,false,100.5
